ward,year,category,cost
22,2019,Sidewalk Repair,75020
22,2019,Parks,81810
22,2019,Alleys,237090
22,2019,Street Resurfacing,829350
22,2020,Misc. CDOT,1320
22,2020,Misc.,1370
22,2020,Lighting,1900
22,2020,Ped. Infra.,5670
22,2020,Police Cameras,24780
22,2020,Street Redesign,30400
22,2020,Sidewalk Repair,103480
22,2020,Alleys,388010
22,2020,Street Resurfacing,763080
22,2021,Street Redesign,11750
22,2021,Ped. Infra.,63720
22,2021,Misc.,88540
22,2021,Sidewalk Repair,158800
22,2021,Alleys,547690
22,2021,Street Resurfacing,629490
22,2022,Misc. CDOT,1320
22,2022,Street Redesign,46650
22,2022,Parks,49120
22,2022,Misc.,67740
22,2022,Ped. Infra.,99480
22,2022,Sidewalk Repair,164550
22,2022,Alleys,430700
22,2022,Street Resurfacing,599460
23,2019,Misc.,680
23,2019,Misc. CDOT,900
23,2019,Street Redesign,30170
23,2019,Alleys,139720
23,2019,Sidewalk Repair,169290
23,2019,Street Resurfacing,979240
23,2020,Street Redesign,21150
23,2020,Police Cameras,24780
23,2020,Alleys,64320
23,2020,Sidewalk Repair,85260
23,2020,Street Resurfacing,1124490
23,2021,Lighting,4750
23,2021,Ped. Infra.,15070
23,2021,Street Redesign,30550
23,2021,Sidewalk Repair,42620
23,2021,Beautification,50000
23,2021,Misc.,52360
23,2021,Viaducts,82400
23,2021,Alleys,97240
23,2021,Police Cameras,107240
23,2021,Parks,185370
23,2021,Street Resurfacing,832390
23,2022,Lighting,32330
23,2022,Street Redesign,37450
23,2022,Parks,40000
23,2022,Beautification,50000
23,2022,Ped. Infra.,69460
23,2022,Misc.,78160
23,2022,Viaducts,86790
23,2022,Sidewalk Repair,179700
23,2022,Alleys,187260
23,2022,Misc. CDOT,350000
23,2022,Street Resurfacing,353690
24,2019,Misc. CDOT,500
24,2019,Viaducts,19940
24,2019,Street Redesign,23500
24,2019,Alleys,44910
24,2019,Parks,125000
24,2019,Sidewalk Repair,315580
24,2019,Street Resurfacing,790570
24,2020,Misc.,25000
24,2020,Police Cameras,26580
24,2020,Street Redesign,37600
24,2020,Ped. Infra.,50000
24,2020,Sidewalk Repair,58750
24,2020,Alleys,106330
24,2020,Street Resurfacing,219350
24,2020,Misc. CDOT,271540
24,2020,Lighting,524850
24,2021,Misc. CDOT,1320
24,2021,Lighting,11700
24,2021,Street Redesign,44650
24,2021,Sidewalk Repair,118980
24,2021,Police Cameras,335530
24,2021,Alleys,485520
24,2021,Street Resurfacing,502300
24,2022,Misc. CDOT,3210
24,2022,Street Redesign,71480
24,2022,Misc.,106330
24,2022,Sidewalk Repair,120670
24,2022,Lighting,344300
24,2022,Street Resurfacing,407010
24,2022,Alleys,412530
25,2019,Street Redesign,3700
25,2019,Misc. CDOT,12280
25,2019,Viaducts,29040
25,2019,Alleys,85140
25,2019,Sidewalk Repair,142540
25,2019,Street Resurfacing,1047300
25,2020,Lighting,500
25,2020,Street Redesign,4700
25,2020,Misc. CDOT,28650
25,2020,Alleys,50970
25,2020,Sidewalk Repair,368410
25,2020,Street Resurfacing,866770
25,2021,Alleys,57360
25,2021,Street Redesign,58750
25,2021,Misc.,126510
25,2021,Street Resurfacing,157730
25,2021,Misc. CDOT,223820
25,2021,Sidewalk Repair,236630
25,2021,Lighting,639200
25,2022,Misc. CDOT,2640
25,2022,Street Redesign,30800
25,2022,Alleys,140000
25,2022,Misc.,155070
25,2022,Lighting,176000
25,2022,Ped. Infra.,295440
25,2022,Street Resurfacing,310040
25,2022,Sidewalk Repair,377190
26,2019,Lighting,500
26,2019,Street Redesign,11040
26,2019,Parks,20000
26,2019,Police Cameras,49550
26,2019,Sidewalk Repair,182690
26,2019,Street Resurfacing,308130
26,2019,Alleys,748090
26,2020,Misc. CDOT,660
26,2020,Street Redesign,710
26,2020,Beautification,20000
26,2020,Lighting,40500
26,2020,Police Cameras,49550
26,2020,Sidewalk Repair,270730
26,2020,Alleys,361300
26,2020,Street Resurfacing,576550
26,2021,Misc. CDOT,660
26,2021,Police Cameras,1800
26,2021,Lighting,5500
26,2021,Street Redesign,11750
26,2021,Street Resurfacing,33810
26,2021,Sidewalk Repair,202170
26,2021,Alleys,1244310
26,2022,Lighting,950
26,2022,Street Redesign,4700
26,2022,Sidewalk Repair,16970
26,2022,Misc. CDOT,110660
26,2022,Street Resurfacing,221330
26,2022,Alleys,1145380
27,2019,Lighting,500
27,2019,Street Redesign,20640
27,2019,Sidewalk Repair,51350
27,2019,Alleys,80630
27,2019,Police Cameras,148660
27,2019,Street Resurfacing,152220
27,2019,Misc.,866000
27,2020,Misc. CDOT,660
27,2020,Street Redesign,4700
27,2020,Lighting,14000
27,2020,Police Cameras,24780
27,2020,Alleys,44380
27,2020,Sidewalk Repair,341930
27,2020,Street Resurfacing,889550
27,2021,Street Redesign,4700
27,2021,Misc.,32910
27,2021,Misc. CDOT,50660
27,2021,Sidewalk Repair,75820
27,2021,Viaducts,103480
27,2021,Police Cameras,229030
27,2021,Alleys,307470
27,2021,Street Resurfacing,695930
27,2022,Ped. Infra.,350
27,2022,Lighting,4500
27,2022,Misc. CDOT,7430
27,2022,Police Cameras,24780
27,2022,Misc.,63550
27,2022,Street Redesign,66500
27,2022,Alleys,86080
27,2022,Sidewalk Repair,622640
27,2022,Street Resurfacing,624180
28,2019,Street Redesign,11750
28,2019,Parks,25000
28,2019,Ped. Infra.,28720
28,2019,Misc. CDOT,57650
28,2019,Sidewalk Repair,76810
28,2019,Alleys,199690
28,2019,Street Resurfacing,327200
28,2019,Lighting,593180
28,2020,Misc. CDOT,10160
28,2020,Sidewalk Repair,11000
28,2020,Street Redesign,62350
28,2020,Street Resurfacing,312000
28,2020,Alleys,347610
28,2020,Lighting,576870
28,2021,Police Cameras,1800
28,2021,Sidewalk Repair,105900
28,2021,Street Resurfacing,155480
28,2021,Alleys,164880
28,2021,Lighting,1071940
28,2022,Misc. CDOT,660
28,2022,Police Cameras,1800
28,2022,Misc.,13310
28,2022,Alleys,29170
28,2022,Street Redesign,29700
28,2022,Sidewalk Repair,55340
28,2022,Street Resurfacing,97810
28,2022,Lighting,1219700
29,2019,Parks,30000
29,2019,Misc.,50000
29,2019,Street Redesign,54700
29,2019,Sidewalk Repair,141290
29,2019,Alleys,222230
29,2019,Street Resurfacing,821780
29,2020,Parks,15000
29,2020,Sidewalk Repair,18610
