ward,year,item,category,location,cost
40,2021,Sidewalk Menu,Sidewalk Repair,ON N WESTERN AVE FROM W BERWYN AVE TO W BALMORAL AVE,93590
40,2021,Street Resurfacing Menu,Street Resurfacing,ON W HOLLYWOOD AVE FROM N ASHLAND AVE TO N HERMITAGE AVE,67750
40,2021,Street Resurfacing Menu,Street Resurfacing,ON N CAMPBELL AVE FROM W PETERSON AVE TO W GLENLAKE AVE,53440
40,2021,Street Resurfacing Menu,Street Resurfacing,ON W WINONA ST FROM N ASHLAND AVE TO N PAULINA ST,50940
40,2021,Alley Resurfacing Menu,Alleys,N FRANCISCO AVE & W AINSLIE ST&W ARGYLE ST & N MOZART ST,42820
40,2021,Sidewalk Menu,Sidewalk Repair,ON N CALIFORNIA AVE FROM W AINSLIE ST TO W ARGYLE ST,41620
40,2021,Alley Resurfacing Menu,Alleys,W CATALPA AVE & N PAULINA ST&N RAVENSWOOD AVE & W RASCHER AVE,38410
40,2021,Sidewalk Menu,Sidewalk Repair,ON W ARDMORE AVE FROM N WASHTENAW AVE TO N FAIRFIELD AVE,34670
40,2021,Alley Resurfacing Menu,Alleys,W BERWYN AVE & N CAMPBELL AVE&N WESTERN AVE & W FARRAGUT AVE,31950
40,2021,Pedestrian Refuge Island Menu,Ped. Infra.,N WESTERN AVE & W WINNEMAC AVE,29240
40,2021,Street Bump Outs Menu,Ped. Infra.,N VIRGINIA AVE & W GIDDINGS ST; W GIDDINGS ST & N VIRGINIA AVE,28980
40,2021,Sidewalk Menu,Sidewalk Repair,5823 N RAVENSWOOD AVE,27650
40,2021,Sidewalk Menu,Sidewalk Repair,ON N SACRAMENTO AVE FROM W BRYN MAWR AVE TO W HOLLYWOOD AVE,21700
40,2021,Street Bump Outs Menu,Ped. Infra.,ON N FRANCISCO AVE FROM W CARMEN AVE TO W FOSTER AVE,18720
40,2021,Concrete Alley Menu,Alleys,N PAULINA ST & W PETERSON AVE&W GLENLAKE AVE & N CLARK ST; 6001 N PAULINA ST,17840
40,2021,Alley Resurfacing Menu,Alleys,N PAULINA ST & W DEVON AVE&N CLARK ST & W HIGHLAND AVE,17140
40,2021,Miscellaneous CDOT Projects,Misc. CDOT,5969 N RAVENSWOOD AVE,15790
40,2021,Street Resurfacing Menu,Street Resurfacing,ON N RAVENSWOOD AVE FROM W GRANVILLE AVE TO W THOME AVE,13710
40,2021,Street Resurfacing Menu,Street Resurfacing,ON W AINSLIE ST FROM N OAKLEY AVE TO N CLAREMONT AVE,13280
40,2021,Sidewalk Menu,Sidewalk Repair,ON N OAKLEY AVE FROM W AINSLIE ST TO W ARGYLE ST,13210
40,2021,Street Speed Hump Menu,Street Redesign,ON N FRANCISCO AVE FROM W ARGYLE ST TO W FOSTER AVE,9400
40,2021,Street Speed Hump Menu,Street Redesign,ON W BALMORAL AVE FROM N ASHLAND AVE TO N RAVENSWOOD AVE,9400
40,2021,Street Speed Hump Menu,Street Redesign,ON W BERWYN AVE FROM N ASHLAND AVE TO N RAVENSWOOD AVE E,9400
40,2021,Street Speed Hump Menu,Street Redesign,ON N FAIRFIELD AVE FROM W ARDMORE AVE TO W THORNDALE AVE,4700
40,2021,Street Speed Hump Menu,Street Redesign,ON N RICHMOND ST FROM W HOLLYWOOD AVE TO W ARDMORE AVE,4700
40,2021,Sidewalk Menu,Sidewalk Repair,1701 W GRANVILLE AVE,2370
40,2021,Street Speed Hump Menu,Street Redesign,2923 W ARGYLE ST,2350
40,2021,Street Speed Hump Menu,Street Redesign,ON N BOSWORTH AVE FROM W SCHREIBER AVE TO W ARTHUR AVE,2350
40,2021,Street Speed Hump Menu,Street Redesign,ON N VIRGINIA AVE FROM W BRYN MAWR AVE TO W GREGORY ST,2350
40,2021,Street Speed Hump Menu,Street Redesign,ON W BERWYN AVE FROM N LINCOLN AVE TO N ROCKWELL ST,2350
40,2021,Street Speed Hump Menu,Street Redesign,ON W BERWYN AVE FROM N OAKLEY AVE TO N BOWMANVILLE AVE,2350
40,2021,Alley Speed Hump Menu,Alleys,W BERWYN AVE & N LEAVITT ST&N HOYNE AVE & W FARRAGUT AVE,1400
40,2021,Street Light Upgrade Menu,Lighting,2816 W SUMMERDALE AVE; 5334 N CALIFORNIA AVE,660
40,2021,Street Light Upgrade Menu,Lighting,2424 W BRYN MAWR AVE,500
40,2021,Street Light Upgrade Menu,Lighting,5990 N RIDGE AVE,500
40,2022,"Emerson, Green Briar, Gross, Mather Park - Basketball Court Upgrades; Green Briar, River Park - Pickleball Striping",Parks,2708 W LAWRENCE AVE; 2650 W PETERSON AVE; 1820 W GRANVILLE AVE; 5941 N RICHMOND ST; 5100 N FRANCISCO AVE,200000
